gene_set	OR	P	target.CH	target.other	bg.CH	bg.other	BHFDR
FMR1_Targets_Ascano	1.64	0.152	7	909	86	18324	0.4032
FMR1_Targets_Darnell	1.8	0.108	7	830	86	18403	0.324
Neurof_GoNervSysDev	3.67	4.28e-07	26	1838	67	17395	1.0272e-05
Neurof_GoNervSysDev_CNS	1.66	0.168	6	767	87	18466	0.4032
Neurof_GoNervTransm	2.82	0.00741	9	705	84	18528	0.04446
Neurof_GoNeuronBody	0	1	0	309	93	18924	1
Neurof_GoNeuronProj	1.21	0.373	7	1214	86	18019	0.688615384615385
Neurof_GoSynaptic	4.14	0.000178	11	604	82	18629	0.001424
Neurof_KeggSynaptic	0	1	0	404	93	18829	1
Neurof_PathwaysAxonG	0	1	0	384	93	18849	1
Neurof_UnionInclusive	2.77	1.61e-05	30	2823	63	16410	0.0001932
PSD_BayesGrant_fullset	1.21	0.359	8	1390	85	17843	0.688615384615385
Neurof_UnionStringent	2.07	0.0178	13	1402	80	17831	0.08544
PhHs_MindFun_ADX	0	1	0	153	93	19080	1
PhHs_MindFun_All	0	1	0	433	93	18800	1
PhHs_NervSys_ADX	2.35	0.0372	7	643	86	18590	0.1488
PhHs_NervSys_All	1.36	0.225	10	1565	83	17668	0.490909090909091
PhMm_Aggr_CardvascMuscle_all	1.26	0.273	12	2026	81	17207	0.998
PhMm_Aggr_DigestHepato_all	0.982	0.575	7	1472	86	17761	0.998
PhMm_Aggr_EndoExocrRepr_all	0.286	0.998	3	2009	90	17224	0.998
PhMm_Aggr_HematoImmune_all	0.446	0.989	6	2578	87	16655	0.998
PhMm_Aggr_IntegAdipPigm_all	0.757	0.798	6	1606	87	17627	0.998
PhMm_Aggr_Sensory_all	0.971	0.587	6	1275	87	17958	0.998
PhMm_Aggr_SkeCranioLimbs_all	0.773	0.783	6	1575	87	17658	0.998
PhMm_NervSystem_all	0.868	0.711	10	2345	83	16888	0.998
PhMm_NeuroBehav_all	0.664	0.893	7	2100	86	17133	0.998
PhMm_NeuroUnion_all	0.753	0.856	12	3161	81	16072	0.998
gnomAD_oe_lof_upper_0.35	1.08	0.432	15	2899	78	16334	NA
BspanVH_lg2rpkm4.74	0.936	0.644	21	4568	72	14665	1
BspanHM_lg2rpkm3.21	0.721	0.914	17	4554	76	14679	1
BspanML_lg2rpkm0.93	1.48	0.0544	29	4509	64	14724	0.186514285714286
BspanLA_lg2rpkm.MIN	0.394	0.999	10	4504	83	14729	1
blueModule	3.28	7.88e-07	30	2435	63	16798	NA
Kirov_ARC	0	1	0	27	93	19206	NA
Kirov_NMDAR	3.42	0.259	1	61	92	19172	NA
Netw_full	0	1	0	135	93	19098	NA
SynKEGG_Cholinergic	0	1	0	111	93	19122	NA
SynKEGG_Glutamatergic	0	1	0	113	93	19120	NA
SynKEGG_Dopaminergic	0	1	0	130	93	19103	NA
SynKEGG_GABAergic	0	1	0	88	93	19145	NA
SynKEGG_Serotonergic	0	1	0	110	93	19123	NA
GOP_lessthan500g	Inf	8.81e-08	93	16143	0	3090	NA
BspanVHM_PreNat	0.877	0.713	13	3008	80	16225	1
BspanVHM_EqlNat	1.04	0.493	15	3010	78	16223	0.845142857142857
BspanVHM_PstNat	0.626	0.946	10	3104	83	16129	1
PhMm_CompleteLethality	0.531	0.918	3	1137	90	18096	0.998
scRNA_DEGs_Mic	0	1	0	721	93	18512	NA
scRNA_DEGs_Per	1.81	0.107	7	827	86	18406	NA
scRNA_DEGs_End	2.39	0.0481	6	540	87	18693	NA
scRNA_DEGs_PgG2M	0.448	0.893	1	456	92	18777	NA
scRNA_DEGs_ExDp1	3.14	0.0097	7	486	86	18747	NA
scRNA_DEGs_ExDp2	0.904	0.647	3	684	90	18549	NA
scRNA_DEGs_oRG	1.11	0.515	3	563	90	18670	NA
scRNA_DEGs_vRG	0.464	0.884	1	440	92	18793	NA
scRNA_DEGs_OPC	3.13	0.0098	7	487	86	18746	NA
scRNA_DEGs_ExM_U	1.82	0.306	2	229	91	19004	NA
scRNA_DEGs_PgS	0.736	0.756	2	558	91	18675	NA
scRNA_DEGs_ExM	0	1	0	223	93	19010	NA
scRNA_DEGs_IP	0	1	0	238	93	18995	NA
scRNA_DEGs_InMGE	0	1	0	160	93	19073	NA
scRNA_DEGs_InCGE	2.85	0.161	2	147	91	19086	NA
scRNA_DEGs_ExN	0	1	0	76	93	19157	NA
