gene_set	OR	P	target.CH	target.other	bg.CH	bg.other	BHFDR
FMR1_Targets_Ascano	0.894	0.659	2	907	45	18237	0.7908
FMR1_Targets_Darnell	0.478	0.876	1	833	46	18311	0.962181818181818
Neurof_GoNervSysDev	2.53	0.013	10	1846	37	17298	0.078
Neurof_GoNervSysDev_CNS	3.52	0.0108	6	763	41	18381	0.078
Neurof_GoNervTransm	1.78	0.252	3	708	44	18436	0.432
Neurof_GoNeuronBody	2.73	0.175	2	307	45	18837	0.381818181818182
Neurof_GoNeuronProj	2.6	0.0272	7	1206	40	17938	0.1088
Neurof_GoSynaptic	3.63	0.0165	5	607	42	18537	0.0792
Neurof_KeggSynaptic	0	1	0	403	47	18741	1
Neurof_PathwaysAxonG	2.19	0.241	2	381	45	18763	0.432
Neurof_UnionInclusive	1.98	0.0376	12	2829	35	16315	0.128914285714286
PSD_BayesGrant_fullset	1.88	0.122	6	1383	41	17761	0.2928
Neurof_UnionStringent	3	0.00645	9	1399	38	17745	0.078
PhHs_MindFun_ADX	2.72	0.314	1	152	46	18992	0.489882352941176
PhHs_MindFun_All	2.96	0.0899	3	431	44	18713	0.239733333333333
PhHs_NervSys_ADX	1.97	0.209	3	641	44	18503	0.418
PhHs_NervSys_All	1.34	0.336	5	1558	42	17586	0.489882352941176
PhMm_Aggr_CardvascMuscle_all	1.75	0.116	8	2012	39	17132	0.182285714285714
PhMm_Aggr_DigestHepato_all	2.12	0.0644	7	1459	40	17685	0.14168
PhMm_Aggr_EndoExocrRepr_all	1.26	0.366	6	1996	41	17148	0.4191
PhMm_Aggr_HematoImmune_all	1.75	0.089	10	2555	37	16589	0.163166666666667
PhMm_Aggr_IntegAdipPigm_all	2.26	0.0386	8	1590	39	17554	0.10615
PhMm_Aggr_Sensory_all	1.31	0.381	4	1271	43	17873	0.4191
PhMm_Aggr_SkeCranioLimbs_all	1.33	0.341	5	1568	42	17576	0.4191
PhMm_NervSystem_all	2.47	0.00938	12	2335	35	16809	0.10318
PhMm_NeuroBehav_all	2.21	0.028	10	2084	37	17060	0.10615
PhMm_NeuroUnion_all	1.94	0.0365	13	3146	34	15998	0.10615
gnomAD_oe_lof_upper_0.35	2.14	0.0198	13	2898	34	16246	NA
BspanVH_lg2rpkm4.74	1.65	0.075	16	4565	31	14579	0.225
BspanHM_lg2rpkm3.21	1.1	0.443	12	4548	35	14596	0.590666666666667
BspanML_lg2rpkm0.93	1	0.556	11	4480	36	14664	0.702315789473684
BspanLA_lg2rpkm.MIN	0.578	0.943	7	4448	40	14696	0.984
blueModule	0.997	0.568	6	2450	41	16694	NA
Kirov_ARC	0	1	0	26	47	19118	NA
Kirov_NMDAR	0	1	0	61	47	19083	NA
Netw_full	9.97	0.00422	3	130	44	19014	NA
SynKEGG_Cholinergic	0	1	0	111	47	19033	NA
SynKEGG_Glutamatergic	0	1	0	114	47	19030	NA
SynKEGG_Dopaminergic	0	1	0	130	47	19014	NA
SynKEGG_GABAergic	0	1	0	88	47	19056	NA
SynKEGG_Serotonergic	0	1	0	110	47	19034	NA
GOP_lessthan500g	2.05	0.108	43	16072	4	3072	NA
BspanVHM_PreNat	2.28	0.0111	14	3004	33	16140	0.078
BspanVHM_EqlNat	0.637	0.882	5	3013	42	16131	0.962181818181818
BspanVHM_PstNat	1.23	0.347	9	3096	38	16048	0.489882352941176
PhMm_CompleteLethality	1.08	0.532	3	1133	44	18011	0.532
scRNA_DEGs_Mic	2.4	0.0981	4	714	43	18430	NA
scRNA_DEGs_Per	1.51	0.331	3	825	44	18319	NA
scRNA_DEGs_End	2.35	0.147	3	540	44	18604	NA
scRNA_DEGs_PgG2M	0	1	0	456	47	18688	NA
scRNA_DEGs_ExDp1	0.829	0.704	1	489	46	18655	NA
scRNA_DEGs_ExDp2	0.584	0.821	1	687	46	18457	NA
scRNA_DEGs_oRG	2.26	0.16	3	561	44	18583	NA
scRNA_DEGs_vRG	0.926	0.664	1	439	46	18705	NA
scRNA_DEGs_OPC	0	1	0	492	47	18652	NA
scRNA_DEGs_ExM_U	0	1	0	230	47	18914	NA
scRNA_DEGs_PgS	1.48	0.399	2	557	45	18587	NA
scRNA_DEGs_ExM	1.86	0.422	1	221	46	18923	NA
scRNA_DEGs_IP	3.56	0.115	2	236	45	18908	NA
scRNA_DEGs_InMGE	0	1	0	159	47	18985	NA
scRNA_DEGs_InCGE	0	1	0	149	47	18995	NA
scRNA_DEGs_ExN	0	1	0	76	47	19068	NA
