Symbol	Description	Score	Functions	Links
C19orf38		0.9940338602470316		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=255809
MYO18B		0.9795928659937868		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=84700
ADAMTS5		0.9714043804910606		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=11096
TNXB		0.9712630039130445		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=7148
MUC16		0.9697772968001814		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=94025
CDHR2		0.967549586617841		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=54825
TUBGCP5		0.9625128304418948	cell division site, gamma-tubulin complex, microtubule binding, microtubule nucleation, microtubule polymerization, microtubule polymerization or depolymerization	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=114791
CTNNA3		0.9609588283314534	heterotypic cell-cell adhesion	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=29119
CDH13		0.9522106058963473		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=1012
TOP3B		0.9446783081376735	isomerase activity	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=8940
MTTP		0.9357859208983684	plasma lipoprotein particle assembly, protein-lipid complex assembly, regulation of plasma lipoprotein particle levels	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=4547
EXOSC10		0.9270977299212106	3'-5' exonuclease activity, cleavage involved in rRNA processing, exonuclease activity, exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters, exoribonuclease activity, exoribonuclease activity, producing 5'-phosphomonoesters, exoribonuclease complex, exosome (RNase complex), maturation of 5.8S rRNA, maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA), ncRNA 3'-end processing, ncRNA catabolic process, nuclear RNA surveillance, RNA surveillance, rRNA 3'-end processing, snoRNA 3'-end processing, snoRNA metabolic process, snoRNA processing, snRNA metabolic process	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=5394
